Source;F-Score;Precision;Recall
www.medikforum.ru;0.6472491909385114;100.0;0.3246753246753247
podrobnosti.ua;1.5558635540347896;100.0;0.7844092421965022
kurskweb.ru;1.0137562878554562;100.0;0.5094633134560539
www.news.nashbryansk.ru;0.4140786749482402;100.0;0.2074688796680498
medportal.ru;1.053526298533647;100.0;0.5295914483670167
www.ameno.ru;1.129943502824859;100.0;0.5681818181818182
www.unian.net;1.0638297872340425;100.0;0.53475935828877
glavcom.ua;1.1560693641618496;100.0;0.5813953488372093
society.lb.ua;1.1695906432748537;100.0;0.5882352941176471
www.health-ua.org;0.5127778864244958;100.0;0.25705466251643483
www.kleo.ru;0.6535947712418301;100.0;0.32786885245901637
www.medicinform.net;0.5115089514066496;100.0;0.2564102564102564
mignews.com.ua;1.1494252873563215;100.0;0.5780346820809248
www.from-ua.com;0.7729468599033816;100.0;0.38806728381124406
www.profinews.com.ua;0.7220216606498195;100.0;0.36231884057971014
www.utro.ru;0.34988540870893814;100.0;0.17524976541369983
www.segodnya.ua;1.8518518518518516;100.0;0.9345794392523363
www.newsmsk.com;0.8583690987124462;100.0;0.43103448275862066
www.novopol.ru;1.1560693641618496;100.0;0.5813953488372093
www.1tv.ru;0.7272727272727273;100.0;0.36516568120922976
www.radiomayak.ru;1.923076923076923;100.0;0.9708737864077669
ufa.kp.ru;1.5625;100.0;0.7874015748031495
gorodlip.ru;0.99009900990099;100.0;0.4975124378109453
news.bcm.ru;0.8214169834059516;100.0;0.41262694047641396
www.54rus.org;1.3986013986013985;100.0;0.7042253521126761
cxid.info;1.3605442176870748;100.0;0.684931506849315
krasnoturinsk.info;0.5555555555555556;100.0;0.2785515320334262
veved.ru;0.4016064257028113;100.0;0.2012072434607646
news.argumenti.ru;0.8032128514056224;100.0;0.4032258064516129
www.medicusamicus.com;0.4338394793926247;100.0;0.21739130434782608
dozor.kharkov.ua;0.8620689655172413;100.0;0.4329004329004329
www.gazeta.ru;2.3255813953488373;100.0;1.1764705882352942
www.1news.az;1.3513513513513513;100.0;0.6802721088435374
russian-bazaar.com;91.92546583850931;94.26751592356688;89.6969696969697
www.ca-news.org;0.91324200913242;100.0;0.45871559633027525
www.ukrkonditer.kiev.ua;1.1976047904191616;100.0;0.6024096385542169
www.eurolab.ua;1.0989010989010988;100.0;0.5524861878453038
news.zn.ua;0.6042296072507554;100.0;0.30303030303030304
globalist.org.ua;0.6944444444444445;100.0;0.34843205574912894
www.048.ua;1.2987012987012987;100.0;0.6535947712418301
ubr.ua;1.7391304347826086;100.0;0.8771929824561403
prm.ru;0.6535947712418301;100.0;0.32786885245901637
news.day.az;0.9708737864077669;100.0;0.4878048780487805
www.ntv.ru;0.8752038827226797;100.0;0.4401220034246575
4geo.ru;2.7027027027027026;100.0;1.36986301369863
