Type;Nombre lignes;Nombre caracteres;Moyenne lignes;Moyenne caracteres;Ecart-type lignes;Ecart-type caracteres;Moyenne de difference (carac);Ecart-type de difference (carac)
CLEAN;22835;3890218;13.479929161747343;2296.468713105077;9.748727864409059;1982.1266929040776
JUSTEXT;9541;1700082;5.632231404958677;1003.5903187721369;13.84164684346534;2551.1318771297415;1763.8961038961038;2440.818708293154
JUSTEXT-LANGID;22507;4186884;13.286304604486423;2471.596221959858;17.51475864486761;3081.9766301991663;922.6670602125148;2063.83514170999
JUSTEXT-TRUELG;22507;4186884;13.286304604486423;2471.596221959858;17.51475864486761;3081.9766301991663;922.6670602125148;2063.83514170999
BEAUTIFUL_SOUP;1044436;53067584;616.5501770956316;31326.791027154664;791.9314204032704;37447.22410606514;29031.592680047226;37276.0399479213
